id,visual_index
0,0.21987946
1,0.28316748
2,0.29805273
3,0.25047272
4,0.18661451
5,0.2140271
6,0.15545276
7,0.2199213
8,0.36281216
9,0.27295417
10,0.16891026
11,0.20763437
12,0.22434352
13,0.15454628
14,0.30257776
15,0.30858755
16,0.28979033
17,0.2673462
18,0.22962624
19,0.18750444
20,0.33723125
21,0.14777777
22,0.27757096
23,0.2837867
24,0.28707814
25,0.18275306
26,0.24826878
27,0.3262869
28,0.18414927
29,0.32246697
30,0.30816215
31,0.2705836
32,0.30290508
33,0.21354991
34,0.2928273
35,0.22995478
36,0.13392158
37,0.24510148
38,0.21064138
39,0.21730034
40,0.24927011
41,0.21649635
42,0.15966746
43,0.25171655
44,0.29285914
45,0.2262192
46,0.27846327
47,0.23659
48,0.19071504
49,0.31447536
50,0.25825605
51,0.19389534
52,0.36193162
53,0.15705606
54,0.3145187
55,0.23710121
56,0.30345857
57,0.16111618
58,0.22801201
59,0.20832565
60,0.2183649
61,0.23255089
62,0.26954
63,0.2646912
64,0.21267143
65,0.3515991
66,0.15334076
67,0.21681422
68,0.24314724
69,0.18141207
70,0.22338201
71,0.35460538
72,0.21937677
73,0.2657132
74,0.19139472
75,0.22327301
76,0.28863084
77,0.13264619
78,0.2376089
79,0.16877657
80,0.21639064
81,0.22250848
82,0.21433079
83,0.39007872
84,0.2625686
85,0.2574265
86,0.22102799
87,0.35194898
88,0.281471
89,0.18654679
90,0.25258374
91,0.19670817
92,0.3382363
93,0.21586505
94,0.20417875
95,0.2019948
96,0.17062601
97,0.1781613
98,0.22654153
99,0.23387848
100,0.22809052
101,0.1755173
102,0.16998366
103,0.34882537
104,0.28842118
105,0.15700649
106,0.21122678
107,0.24210405
108,0.22826058
109,0.3374118
110,0.19007757
111,0.29646868
112,0.33678964
113,0.29627058
114,0.23858336
115,0.16287872
116,0.20217532
117,0.2587724
118,0.31487525
119,0.26914597
120,0.29755732
121,0.30063403
122,0.1675991
123,0.21606311
124,0.3042359
125,0.20613742
126,0.20166284
127,0.25732845
128,0.1997714
129,0.24155797
130,0.26330334
131,0.22869003
132,0.2197732
133,0.15035616
134,0.25965852
135,0.26149923
136,0.19815624
137,0.25949037
138,0.21083272
139,0.25032374
140,0.28545028
141,0.37420428
142,0.15386692
143,0.2031857
144,0.1648732
145,0.20653024
146,0.14516017
147,0.26696575
148,0.18389437
149,0.25404042
150,0.13743356
151,0.20354481
152,0.19250078
153,0.25292307
154,0.38161087
155,0.16988012
156,0.14829078
157,0.24759299
158,0.28580552
159,0.17953777
160,0.27484512
161,0.13147631
162,0.13609003
163,0.1897732
164,0.1843119
165,0.24470046
166,0.15571408
167,0.14874491
168,0.24725589
169,0.23810267
170,0.20545238
171,0.23494077
172,0.28784937
173,0.2307494
174,0.239744
175,0.23280412
176,0.24732915
177,0.42408782
178,0.21086739
179,0.17658809
180,0.19930695
181,0.21466418
182,0.2509364
183,0.29088894
184,0.31045312
185,0.27083755
186,0.34428054
187,0.239611
188,0.13103843
189,0.2466337
190,0.22949612
191,0.29272214
192,0.221037
193,0.2654914
194,0.13354711
195,0.16897176
196,0.17697616
197,0.22519915
198,0.15684512
199,0.26917127
200,0.25015572
201,0.2260535
202,0.263684
203,0.23252195
204,0.31255227
205,0.16227241
206,0.26257944
207,0.18401209
208,0.25507933
209,0.20000584
210,0.1730246
211,0.21965526
212,0.28078517
213,0.166136
214,0.29127347
215,0.21247293
216,0.285909
217,0.29409322
218,0.23152304
219,0.2469122
220,0.17005812
221,0.33484274
222,0.15385354
223,0.19580397
224,0.24997786
225,0.22853893
226,0.2062027
227,0.4086072
228,0.3150441
229,0.2163285
230,0.20024255
231,0.26169634
232,0.15079373
233,0.28367954
234,0.28924638
235,0.18403491
236,0.24456415
237,0.22973204
238,0.17409903
239,0.26239964
240,0.21159951
241,0.14508548
242,0.29523748
243,0.21866493
244,0.21710828
245,0.2860736
246,0.28506914
247,0.20937136
248,0.20223153
249,0.37020457
250,0.18496287
251,0.15935764
252,0.2576167
253,0.16715464
254,0.21356127
255,0.24636602
256,0.22206905
257,0.31328154
258,0.2179012
259,0.28243136
260,0.2108307
261,0.22625476
262,0.19436991
263,0.1867075
264,0.291706
265,0.24982065
266,0.13349348
267,0.35463405
268,0.21500856
269,0.18400773
270,0.25255758
271,0.3257103
272,0.27963924
273,0.22135991
274,0.23330985
275,0.26781386
276,0.25623578
277,0.1989288
278,0.14720246
279,0.14996135
280,0.2731824
281,0.2526919
282,0.24041994
283,0.177818
284,0.38540426
285,0.27693123
286,0.22672948
287,0.19490191
288,0.20988283
289,0.21114245
290,0.17861031
291,0.21405545
292,0.17388815
293,0.32300398
294,0.2564533
295,0.18112804
296,0.19660255
297,0.19791892
298,0.26646706
299,0.24612314
300,0.1672507
301,0.2326101
302,0.17220858
303,0.23962367
304,0.17745441
305,0.13827577
306,0.30076683
307,0.25031897
308,0.22885805
309,0.1808135
310,0.17647079
311,0.15300155
312,0.2395091
313,0.19686052
314,0.14805526
315,0.35149068
316,0.18624881
317,0.26452988
318,0.22447763
319,0.3423126
320,0.242008
321,0.21586086
322,0.20054075
323,0.2782439
324,0.27944383
325,0.18614614
326,0.23423262
327,0.32462895
328,0.22251105
329,0.37702897
330,0.27849272
331,0.24817693
332,0.21120626
333,0.14281788
334,0.22946143
335,0.26236063
336,0.13296047
337,0.29889798
338,0.362256
339,0.2634864
340,0.2236968
341,0.28072643
342,0.22413297
343,0.25163043
344,0.1755278
345,0.23443495
346,0.18498947
347,0.23365432
348,0.2267822
349,0.3016398
350,0.1406213
351,0.15454152
352,0.3100284
353,0.32737356
354,0.22476396
355,0.17694114
356,0.14962474
357,0.31098372
358,0.25184727
359,0.17343637
360,0.17715368
361,0.18082097
362,0.2790404
363,0.24287263
364,0.18276627
365,0.23435739
366,0.23540592
367,0.22460645
368,0.21727756
369,0.18971433
370,0.22735688
371,0.16324963
372,0.20676985
373,0.14797965
374,0.26280195
375,0.18935522
376,0.1977512
377,0.19675025
378,0.25889048
379,0.18189281
380,0.3137616
381,0.21443434
382,0.16175051
383,0.23358421
384,0.19930288
385,0.31347972
386,0.17711219
387,0.15892841
388,0.3264612
389,0.24528894
390,0.24503991
391,0.24470004
392,0.22093363
393,0.33965546
394,0.21800175
395,0.16570011
396,0.21872595
397,0.23306541
398,0.24748722
399,0.18275267
